,,Cornwall,England
Addington,,Cornwall,England
Alfardisworthy,EX22,Cornwall,England
Allen,,Cornwall,England
Allet,,Cornwall,England
Altarnun,PL15,Cornwall,England
Amalebra,TR20,Cornwall,England
Amalveor,,Cornwall,England
Anderton,,Cornwall,England
Angarrack,TR27,Cornwall,England
Angarrick,,Cornwall,England
Annet,,Cornwall,England
Anthony,,Cornwall,England
Antony Passage,,Cornwall,England
Ashton,PL17,Cornwall,England
Badgall,,Cornwall,England
Badharlick,,Cornwall,England
Bakesdown,,Cornwall,England
Baldhu,TR3,Cornwall,England
Ball,,Cornwall,England
Balwest,,Cornwall,England
Bangors,,Cornwall,England
Banns,,Cornwall,England
Barcelona,,Cornwall,England
Bareppa,,Cornwall,England
Barkla Shop,,Cornwall,England
Barripper,TR14,Cornwall,England
Bathpool,PL15,Cornwall,England
Beacon,,Cornwall,England
Bealbury,,Cornwall,England
Bealsmill,,Cornwall,England
Beeny,,Cornwall,England
Belowda,PL26,Cornwall,England
Bennacott,PL15,Cornwall,England
Berepper,TR12,Cornwall,England
Berriowbridge,,Cornwall,England
Bethany,,Cornwall,England
Bethel,,Cornwall,England
Bilberry,PL26,Cornwall,England
Billacott,,Cornwall,England
Biscovey,,Cornwall,England
Bissoe,TR4,Cornwall,England
Bissom,,Cornwall,England
Black Cross,TR8,Cornwall,England
Black Head,,Cornwall,England
Black Rock,,Cornwall,England
Blackwater,TR4,Cornwall,England
Blisland,PL30,Cornwall,England
Blowinghouse,,Cornwall,England
Blue Anchor,TR8,Cornwall,England
Blunts,PL12,Cornwall,England
Bocaddon,PL13,Cornwall,England
Bodellick,,Cornwall,England
Bodelva,,Cornwall,England
Bodieve,PL27,Cornwall,England
Bodiggo,,Cornwall,England
Bodilly,,Cornwall,England
Bodinnick,PL23,Cornwall,England
Bodmin,PL31,Cornwall,England
Bodmin Moor,,Cornwall,England
Boduel,,Cornwall,England
Bodwen,PL26,Cornwall,England
Bofarnel,,Cornwall,England
Bohetherick,,Cornwall,England
Bohortha,TR2,Cornwall,England
Bojewyan,TR19,Cornwall,England
Bokiddick,,Cornwall,England
Bolenowe,,Cornwall,England
Bolingey,TR6,Cornwall,England
Bolitho,,Cornwall,England
Bolventor,PL15,Cornwall,England
Boquio,,Cornwall,England
Borough,,Cornwall,England
Boscadjack,,Cornwall,England
Boscastle,PL35,Cornwall,England
Boscean,,Cornwall,England
Boscoppa,PL25,Cornwall,England
Boscreege,,Cornwall,England
Boskednan,,Cornwall,England
Boskenna,,Cornwall,England
Bosleake,,Cornwall,England
Boslowick,,Cornwall,England
Boslymon,,Cornwall,England
Bosoughan,,Cornwall,England
Bosporthennis,,Cornwall,England
Bossiney,PL34,Cornwall,England
Boswednack,,Cornwall,England
Boswin,,Cornwall,England
Boswinger,PL26,Cornwall,England
Boswyn,,Cornwall,England
Botallack,TR19,Cornwall,England
Botternell,,Cornwall,England
Bottoms,,Cornwall,England
Botusfleming,PL12,Cornwall,England
Bowithick,,Cornwall,England
Bowling Green,,Cornwall,England
Boyton,PL15,Cornwall,England
Braddock,,Cornwall,England
Bradford,EX22,Cornwall,England
Brane,TR19,Cornwall,England
Bray Shop,PL17,Cornwall,England
Brazacott,PL15,Cornwall,England
Brea,,Cornwall,England
Breage,TR13,Cornwall,England
Brent,,Cornwall,England
Bridge,TR16,Cornwall,England
Bridgend,PL22,Cornwall,England
Bridges,,Cornwall,England
Bridgetown,PL15,Cornwall,England
Brill,TR11,Cornwall,England
Broad Lane,,Cornwall,England
Broadlane,,Cornwall,England
Brocton,,Cornwall,England
Brooks,,Cornwall,England
Brunnion,,Cornwall,England
Bryher,,Cornwall,England
Bude,EX23,Cornwall,England
Budock Water,TR11,Cornwall,England
Bugle,PL26,Cornwall,England
Burgois,,Cornwall,England
Burlawn,PL27,Cornwall,England
Burlorne Tregoose,,Cornwall,England
Burniere,,Cornwall,England
Burnthouse,,Cornwall,England
Burras,TR13,Cornwall,England
Burraton,,Cornwall,England
Burraton Coombe,,Cornwall,England
Buryas Br,,Cornwall,England
Bush,,Cornwall,England
Busveal,,Cornwall,England
Butteriss Gate,,Cornwall,England
Buttsbear Cross,,Cornwall,England
Cadgwith,TR12,Cornwall,England
Calenick,,Cornwall,England
Callestick,TR4,Cornwall,England
Callington,PL17,Cornwall,England
Calloose,,Cornwall,England
Calvadnack,,Cornwall,England
Cambeak,,Cornwall,England
Camborne,TR14,Cornwall,England
Cambrose,,Cornwall,England
Camel,,Cornwall,England
Camelford,PL32,Cornwall,England
Cannalidgey,,Cornwall,England
Canonstown,,Cornwall,England
Canworthy Water,PL15,Cornwall,England
Cape Cornwall,,Cornwall,England
Caradon Town,,Cornwall,England
Carbis,,Cornwall,England
Carbis Bay,TR26,Cornwall,England
Carclaze,,Cornwall,England
Carclew,TR3,Cornwall,England
Cardinham,PL30,Cornwall,England
Carey Park,,Cornwall,England
Carfury,,Cornwall,England
Cargreen,PL12,Cornwall,England
Carharrack,TR16,Cornwall,England
Carkeel,PL12,Cornwall,England
Carleen,,Cornwall,England
Carlidnack,,Cornwall,England
Carloggas,,Cornwall,England
Carluddon,,Cornwall,England
Carlyon Bay,PL25,Cornwall,England
Carminow Cross,,Cornwall,England
Carn Arthen,,Cornwall,England
Carn Brea Village,,Cornwall,England
Carn Towan,,Cornwall,England
Carne,TR2,Cornwall,England
Carnebone,,Cornwall,England
Carnhell Green,TR14,Cornwall,England
Carnhot,,Cornwall,England
Carnkie,,Cornwall,England
Carnkief,,Cornwall,England
Carnon Downs,TR3,Cornwall,England
Carnon River,,Cornwall,England
Carnsmerry,,Cornwall,England
Carnyorth,TR19,Cornwall,England
Caroe,,Cornwall,England
Carpalla,,Cornwall,England
Carthamartha,,Cornwall,England
Carthew,PL26,Cornwall,England
Carwynnen,,Cornwall,England
Carzise,,Cornwall,England
Castallack,,Cornwall,England
Castle Gate,,Cornwall,England
Catchall,TR20,Cornwall,England
Cawsand,PL10,Cornwall,England
Chacewater,TR4,Cornwall,England
Chapel,,Cornwall,England
Chapel Amble,PL27,Cornwall,England
Chapel Point,,Cornwall,England
Chapel Town,TR8,Cornwall,England
Charaton,,Cornwall,England
Charlestown,PL25,Cornwall,England
Chenhalls,,Cornwall,England
Chilsworthy,EX22,Cornwall,England
Church Coombe,,Cornwall,England
Church Cove,,Cornwall,England
Church Town,,Cornwall,England
Churchbridge,,Cornwall,England
Churchtown,,Cornwall,England
Chyandour,TR18,Cornwall,England
Chyanvounder,,Cornwall,England
Chycoose,,Cornwall,England
Chynhale,,Cornwall,England
Chynoweth,,Cornwall,England
Chyvarloe,,Cornwall,England
Clapper,,Cornwall,England
Clerkenwater,,Cornwall,England
Clowance Wood,,Cornwall,England
Clubworthy,PL15,Cornwall,England
Cober,,Cornwall,England
Cocks,,Cornwall,England
Cockwells,,Cornwall,England
Colan,TR8,Cornwall,England
Cold Northcott,,Cornwall,England
Coldharbour,,Cornwall,England
Coldvreath,,Cornwall,England
Collamoor Head,,Cornwall,England
Colliford Lake Reservoir,,Cornwall,England
Come-to-Good,,Cornwall,England
Comford,,Cornwall,England
Comfort,,Cornwall,England
Common Moor,PL14,Cornwall,England
Connon,,Cornwall,England
Connor Downs,TR27,Cornwall,England
Constantine,TR11,Cornwall,England
Constantine Bay,,Cornwall,England
Cooksland,,Cornwall,England
Coombe,EX23,Cornwall,England
Coppathorne,EX23,Cornwall,England
Copperhouse,,Cornwall,England
Copthorne,,Cornwall,England
Corgee,,Cornwall,England
Costislost,,Cornwall,England
Coswinsawsin,,Cornwall,England
Cotts,,Cornwall,England
Coverack,TR12,Cornwall,England
Coverack Bridges,,Cornwall,England
Cowlands,,Cornwall,England
Cox Hill,,Cornwall,England
Coxford,,Cornwall,England
Coxpark,,Cornwall,England
Crackington Haven,EX23,Cornwall,England
Crafthole,PL11,Cornwall,England
Crahan,,Cornwall,England
Crantock,TR8,Cornwall,England
Crean,,Cornwall,England
Creed,TR2,Cornwall,England
Creegbrawse,,Cornwall,England
Crelly,,Cornwall,England
Cremyll,PL10,Cornwall,England
Criggan,,Cornwall,England
Crimp,,Cornwall,England
Cripplesease,TR20,Cornwall,England
Croanford,,Cornwall,England
Croft Mitchell,,Cornwall,England
Crofthandy,,Cornwall,England
Cross Coombe,,Cornwall,England
Cross Hill,,Cornwall,England
Cross Lanes,,Cornwall,England
Crossgate,,Cornwall,England
Crosstown,,Cornwall,England
Crowan,TR14,Cornwall,England
Crowlas,TR20,Cornwall,England
Crowntown,TR13,Cornwall,England
Crows-an-wra,TR19,Cornwall,England
Crugmeer,PL28,Cornwall,England
Crumplehorn,,Cornwall,England
Cubert,TR8,Cornwall,England
Curgurrell,,Cornwall,England
Currian Vale,,Cornwall,England
Curry Lane,,Cornwall,England
Cury,TR12,Cornwall,England
Cusgarne,,Cornwall,England
Cusveorth Coombe,,Cornwall,England
Cutmadoc,,Cornwall,England
Cutmere,,Cornwall,England
Dannonchapel,,Cornwall,England
Darite,PL14,Cornwall,England
Darleyford,,Cornwall,England
Darracott,,Cornwall,England
Davidstow,PL32,Cornwall,England
De Lank,,Cornwall,England
Degibna,,Cornwall,England
Delabole,PL33,Cornwall,England
Demelza,,Cornwall,England
Deveral,,Cornwall,England
Devoran,TR3,Cornwall,England
Dimson,,Cornwall,England
Dinas,,Cornwall,England
Dizzard,,Cornwall,England
Dizzard Point,,Cornwall,England
Dobwalls,PL14,Cornwall,England
Doddycross,,Cornwall,England
Dodman Point,,Cornwall,England
Doublebois,PL14,Cornwall,England
Downderry,PL11,Cornwall,England
Downgate,PL17,Cornwall,England
Downhill,,Cornwall,England
Downinney,,Cornwall,England
Dozmary Pool,,Cornwall,England
Drakewalls,,Cornwall,England
Drawbridge,,Cornwall,England
Drift,,Cornwall,England
Drym,,Cornwall,England
Duloe,PL14,Cornwall,England
Dunmere,PL31,Cornwall,England
Dunslea,,Cornwall,England
Dunveth,,Cornwall,England
Durgan,,Cornwall,England
Dutson,,Cornwall,England
East Looe,PL13,Cornwall,England
East Taphouse,PL14,Cornwall,England
East Youlstone,,Cornwall,England
Eastcott,EX23,Cornwall,England
Edgcumbe,TR10,Cornwall,England
Edmonton,,Cornwall,England
Eggbeare,,Cornwall,England
Egloshayle,PL27,Cornwall,England
Egloskerry,PL15,Cornwall,England
Ellenglaze,,Cornwall,England
Engollan,,Cornwall,England
Enniscaven,,Cornwall,England
Fal,,Cornwall,England
Falmouth,TR11,Cornwall,England
Farms Common,,Cornwall,England
Fenton Pits,,Cornwall,England
Fentonadle,,Cornwall,England
Feock,TR3,Cornwall,England
Fernsplatt,,Cornwall,England
Fire Beacon Point,,Cornwall,England
Fivelanes,PL15,Cornwall,England
Fletchersbridge,,Cornwall,England
Flexbury,EX23,Cornwall,England
Flushing,TR11,Cornwall,England
Fonston,,Cornwall,England
Forder,,Cornwall,England
Forge,,Cornwall,England
Forrabury,,Cornwall,England
Foundry,,Cornwall,England
Four Lanes,TR16,Cornwall,England
Fowey,PL23,Cornwall,England
Foxhole,PL26,Cornwall,England
Fraddam,TR27,Cornwall,England
Fraddon,TR9,Cornwall,England
Freathy,PL10,Cornwall,England
Frogmore,,Cornwall,England
Frogpool,,Cornwall,England
Frogwell,,Cornwall,England
Gam,,Cornwall,England
Gang,,Cornwall,England
Garker,,Cornwall,England
Garras,TR12,Cornwall,England
Georgia,,Cornwall,England
Germoe,TR20,Cornwall,England
Gerrans,TR2,Cornwall,England
Gillan,,Cornwall,England
Gloweth,TR1,Cornwall,England
Gluvian,,Cornwall,England
Godolphin Cross,TR13,Cornwall,England
Golant,PL23,Cornwall,England
Golberdon,PL17,Cornwall,England
Goldsithney,TR20,Cornwall,England
Gollawater,,Cornwall,England
Gonamena,,Cornwall,England
Goon Gumpas,,Cornwall,England
Goon Piper,,Cornwall,England
Goonabarn,,Cornwall,England
Goonbell,TR5,Cornwall,England
Goonhavern,TR4,Cornwall,England
Goonhusband,,Cornwall,England
Goonlaze,,Cornwall,England
Goonown,,Cornwall,England
Goonvrea,,Cornwall,England
Gooseham,EX23,Cornwall,England
Gooseham Mill,,Cornwall,England
Gorran Churchtown,PL26,Cornwall,England
Gorran Haven,PL26,Cornwall,England
Gorran High Lanes,,Cornwall,England
Gothers,,Cornwall,England
Gracca,,Cornwall,England
Grade,TR12,Cornwall,England
Grampound,TR2,Cornwall,England
Grampound Road,TR2,Cornwall,England
Great Bosullow,,Cornwall,England
Great Tree,,Cornwall,England
Green Bottom,,Cornwall,England
Greensplat,,Cornwall,England
Greenwith Common,,Cornwall,England
Gribbin Head,,Cornwall,England
Grillis,,Cornwall,England
Grimscott,EX23,Cornwall,England
Grumbla,,Cornwall,England
Gugh,,Cornwall,England
Gulval,TR18,Cornwall,England
Gunnislake,PL18,Cornwall,England
Gunwalloe,TR12,Cornwall,England
Gunwalloe Fishing Cove,,Cornwall,England
Gwallon,,Cornwall,England
Gwavas,,Cornwall,England
Gwedna,,Cornwall,England
Gweek,TR11,Cornwall,England
Gwennap,TR16,Cornwall,England
Gwennap Head,,Cornwall,England
Gwenter,TR12,Cornwall,England
Gwills,,Cornwall,England
Gwinear,TR27,Cornwall,England
Gwinear Downs,,Cornwall,England
Gwithian,TR27,Cornwall,England
Halabezack,,Cornwall,England
Halamanning,,Cornwall,England
Hale Mills,,Cornwall,England
Halgabron,,Cornwall,England
Hallew,,Cornwall,England
Hallworthy,PL32,Cornwall,England
Halsetown,TR26,Cornwall,England
Halton Barton,,Cornwall,England
Halvosso,,Cornwall,England
Halwin,,Cornwall,England
Hannafore,,Cornwall,England
Harcourt,,Cornwall,England
Harlyn,,Cornwall,England
Harrowbarrow,PL17,Cornwall,England
Hatt,PL12,Cornwall,England
Hay,,Cornwall,England
Haye,PL17,Cornwall,England
Hayle,TR27,Cornwall,England
Heamoor,TR18,Cornwall,England
Hele,,Cornwall,England
Helebridge,EX23,Cornwall,England
Helford,TR12,Cornwall,England
Helford Passage,,Cornwall,England
Helland,PL30,Cornwall,England
Hellandbridge,PL30,Cornwall,England
Hellesveor,,Cornwall,England
Helscott,,Cornwall,England
Helston,TR12,Cornwall,England
Helston Water,,Cornwall,England
Helstone,PL32,Cornwall,England
Hendra,,Cornwall,England
Hendra Croft,,Cornwall,England
Hendrabridge,,Cornwall,England
Hendraburnick,,Cornwall,England
Henwood,PL14,Cornwall,England
Herniss,,Cornwall,England
Herodsfoot,PL14,Cornwall,England
Hersham,EX23,Cornwall,England
Hessenford,PL11,Cornwall,England
Hewas Water,PL26,Cornwall,England
High Cross,,Cornwall,England
High Lanes,,Cornwall,England
High Street,PL26,Cornwall,England
Higher Bal,,Cornwall,England
Higher Boscaswell,,Cornwall,England
Higher Condurrow,,Cornwall,England
Higher Crackington,,Cornwall,England
Higher Cransworth,,Cornwall,England
Higher Downs,,Cornwall,England
Higher Menadew,,Cornwall,England
Higher Porthpean,,Cornwall,England
Higher Tolcarne,,Cornwall,England
Higher Town,,Cornwall,England
Higher Tremarcoombe,,Cornwall,England
Highercliff,,Cornwall,England
Highertown,,Cornwall,England
Highlanes,,Cornwall,England
Highway,,Cornwall,England
Hillhead,,Cornwall,England
Holmbush,PL25,Cornwall,England
Holy Vale,,Cornwall,England
Holywell,TR8,Cornwall,England
Hornick,,Cornwall,England
Horningtops,PL14,Cornwall,England
Horsedowns,,Cornwall,England
Hugh Town,,Cornwall,England
Hugus,,Cornwall,England
Idless,,Cornwall,England
Illand,,Cornwall,England
Illogan,TR16,Cornwall,England
Illogan Highway,,Cornwall,England
Inchs,,Cornwall,England
Indian Queens,TR9,Cornwall,England
Insworke,,Cornwall,England
Isles of Scilly 49.92N 06.29W SV917119,,Cornwall,England
Jacobstow,EX23,Cornwall,England
Joppa,,Cornwall,England
Kea,TR3,Cornwall,England
Kehelland,TR14,Cornwall,England
Kelly,,Cornwall,England
Kelly Bray,PL17,Cornwall,England
Kelsey Head,,Cornwall,England
Kelynack,TR19,Cornwall,England
Kennards House,PL15,Cornwall,England
Kenneggy,,Cornwall,England
Kenneggy Downs,,Cornwall,England
Kents,,Cornwall,England
Kenwyn,TR1,Cornwall,England
Kerley Downs,,Cornwall,England
Kerris,TR19,Cornwall,England
Kersbrook Cross,,Cornwall,England
Kerthen Wood,,Cornwall,England
Kestle,,Cornwall,England
Kestle Mill,TR8,Cornwall,England
Keybridge,,Cornwall,England
Kilhallon,,Cornwall,England
Kilkhampton,EX23,Cornwall,England
Killaworgey,,Cornwall,England
Killivose,,Cornwall,England
Kingbeare,,Cornwall,England
Kingford,,Cornwall,England
Kingsand,PL10,Cornwall,England
Knightor,,Cornwall,England
Knightsmill,,Cornwall,England
Kuggar,TR12,Cornwall,England
Laddenvean,,Cornwall,England
Ladock,TR2,Cornwall,England
Ladycross,PL15,Cornwall,England
Laity Moor,,Cornwall,England
Lamanva,,Cornwall,England
Lambourne,,Cornwall,England
Lamellion,PL14,Cornwall,England
Lamledra,,Cornwall,England
Lamorick,,Cornwall,England
Lamorna,,Cornwall,England
Lamorran,TR2,Cornwall,England
Landrake,PL12,Cornwall,England
Lands End,,Cornwall,England
Landulph,PL12,Cornwall,England
Lane,,Cornwall,England
Lane-end,PL30,Cornwall,England
Laneast,PL15,Cornwall,England
Lanescot,,Cornwall,England
Langore,PL15,Cornwall,England
Lanivet,PL30,Cornwall,England
Lanjeth,,Cornwall,England
Lanjew,,Cornwall,England
Lank,,Cornwall,England
Lanlivery,PL22,Cornwall,England
Lanner,TR16,Cornwall,England
Lanreath,PL13,Cornwall,England
Lansallos,PL13,Cornwall,England
Lanteglos,PL32,Cornwall,England
Lanteglos Highway,,Cornwall,England
Lantuel,,Cornwall,England
Lantyan,,Cornwall,England
Larrick,,Cornwall,England
Latchbrook,,Cornwall,England
Latchley,PL18,Cornwall,England
Launcells Cross,EX23,Cornwall,England
Launceston,PL15,Cornwall,England
Lavrean,,Cornwall,England
Lawhitton,PL15,Cornwall,England
Leburnick,,Cornwall,England
Leedstown,TR27,Cornwall,England
Lelant,TR26,Cornwall,England
Lelant Downs,,Cornwall,England
Lerryn,PL22,Cornwall,England
Lesnewth,PL35,Cornwall,England
Levalsa Meor,,Cornwall,England
Lewannick,PL15,Cornwall,England
Lezant,PL15,Cornwall,England
Lezerea,,Cornwall,England
Linkinhorne,PL17,Cornwall,England
Liskeard,PL14,Cornwall,England
Little Bosullow,,Cornwall,England
Little Comfort,,Cornwall,England
Little Petherick,PL27,Cornwall,England
Lizard,TR12,Cornwall,England
Lizard Point,,Cornwall,England
Lockengate,PL26,Cornwall,England
Lodge Hill,,Cornwall,England
London Apprentice,,Cornwall,England
Longdowns,,Cornwall,England
Longrock,TR20,Cornwall,England
Longstone,,Cornwall,England
Looe,PL13,Cornwall,England
Looe Mills,,Cornwall,England
Lostwithiel,PL22,Cornwall,England
Lower Amble,,Cornwall,England
Lower Bodinnar,,Cornwall,England
Lower Boscaswell,TR19,Cornwall,England
Lower Brynn,,Cornwall,England
Lower Clicker,,Cornwall,England
Lower Croan,,Cornwall,England
Lower Menadue,,Cornwall,England
Lower Mill,,Cornwall,England
Lower Porthpean,,Cornwall,England
Lower Rose,,Cornwall,England
Lower Town,,Cornwall,England
Lower Trebullett,,Cornwall,England
Lower Woodley,,Cornwall,England
Lower Woon,,Cornwall,England
Lowertown,,Cornwall,England
Luckett,PL17,Cornwall,England
Ludgvan,TR20,Cornwall,England
Luffincott,EX22,Cornwall,England
Luxulyan,PL30,Cornwall,England
Lynher,,Cornwall,England
Lynstone,,Cornwall,England
Mabe Burnthouse,TR10,Cornwall,England
Maders,,Cornwall,England
Madron,TR20,Cornwall,England
Maenporth,,Cornwall,England
Maer,,Cornwall,England
Malpas,TR1,Cornwall,England
Manaccan,TR12,Cornwall,England
Manacle Point,,Cornwall,England
Manhay,,Cornwall,England
Manor Parsley,,Cornwall,England
Marazanvose,,Cornwall,England
Marazion,TR17,Cornwall,England
Marhamchurch,EX23,Cornwall,England
Marshgate,PL32,Cornwall,England
Maryfield,,Cornwall,England
Maudlin,,Cornwall,England
Mawgan,TR12,Cornwall,England
Mawgan Porth,,Cornwall,England
Mawla,TR16,Cornwall,England
Mawnan,TR11,Cornwall,England
Mawnan Smith,TR11,Cornwall,England
Maxworthy,PL15,Cornwall,England
Mayon,,Cornwall,England
Maypole,,Cornwall,England
Mead,,Cornwall,England
Meaver,,Cornwall,England
Meddon,,Cornwall,England
Medlyn,,Cornwall,England
Melinsey,,Cornwall,England
Mellangoose,,Cornwall,England
Mellingey,,Cornwall,England
Mena,,Cornwall,England
Menadarva,,Cornwall,England
Menagissey,,Cornwall,England
Menheniot,PL14,Cornwall,England
Menherion,,Cornwall,England
Menna,,Cornwall,England
Merrifield,,Cornwall,England
Merry Meeting,,Cornwall,England
Merrymeet,PL14,Cornwall,England
Merther,TR2,Cornwall,England
Merther Lane,,Cornwall,England
Metherell,,Cornwall,England
Mevagissey,PL26,Cornwall,England
Michaelstow,PL30,Cornwall,England
Middle Crackington,,Cornwall,England
Middle Taphouse,,Cornwall,England
Middle Town,,Cornwall,England
Middlehill,PL14,Cornwall,England
Middlewood,,Cornwall,England
Milcombe,,Cornwall,England
Millbrook,PL10,Cornwall,England
Millendreath,,Cornwall,England
Millook,,Cornwall,England
Millpool,,Cornwall,England
Milltown,,Cornwall,England
Mineshope,,Cornwall,England
Mingoose,,Cornwall,England
Minions,PL14,Cornwall,England
Mitchell,TR8,Cornwall,England
Mithian,TR5,Cornwall,England
Mithian Downs,,Cornwall,England
Mixtow,,Cornwall,England
Molinnis,,Cornwall,England
Mongleath,,Cornwall,England
Monkscross,,Cornwall,England
Moorswater,,Cornwall,England
Mornick,,Cornwall,England
Morvah,TR20,Cornwall,England
Morval,PL13,Cornwall,England
Morwellham Quay,,Cornwall,England
Morwenstow,EX23,Cornwall,England
Mount,PL30,Cornwall,England
Mount Ambrose,,Cornwall,England
Mount Charles,,Cornwall,England
Mount Hawke,TR4,Cornwall,England
Mount Hermon,,Cornwall,England
Mount Pleasant,,Cornwall,England
Mount Wise,,Cornwall,England
Mountjoy,TR8,Cornwall,England
Mousehole,TR19,Cornwall,England
Muchlarnick,PL13,Cornwall,England
Mulberry,,Cornwall,England
Mulfra,,Cornwall,England
Mullion,TR12,Cornwall,England
Mullion Cove,,Cornwall,England
Mylor Bridge,TR11,Cornwall,England
Mylor Churchtown,,Cornwall,England
Nance,,Cornwall,England
Nanceddan,,Cornwall,England
Nancegollan,TR13,Cornwall,England
Nancemellin,,Cornwall,England
Nancenoy,,Cornwall,England
Nancledra,,Cornwall,England
Nanpean,PL26,Cornwall,England
Nanquidno,,Cornwall,England
Nanstallon,PL30,Cornwall,England
Nantithet,,Cornwall,England
Nare Point,,Cornwall,England
Narkurs,,Cornwall,England
Navarino,,Cornwall,England
Navax Point,,Cornwall,England
Netherton,,Cornwall,England
New Downs,,Cornwall,England
New Grimsby,,Cornwall,England
New Mill,TR20,Cornwall,England
New Mills,TR2,Cornwall,England
New Polzeath,PL27,Cornwall,England
Newbridge,PL17,Cornwall,England
Newlyn,TR18,Cornwall,England
Newport,PL15,Cornwall,England
Newquay,TR7,Cornwall,England
Newton,,Cornwall,England
Newtown,,Cornwall,England
Newtown-in-St Martin,,Cornwall,England
Nine Maidens Downs,,Cornwall,England
Ninnes,,Cornwall,England
Ninnes Bridge,,Cornwall,England
Noonvares,,Cornwall,England
Norris Green,,Cornwall,England
North Beer,,Cornwall,England
North Corner,,Cornwall,England
North Country,,Cornwall,England
North Darley,,Cornwall,England
North Hill,PL15,Cornwall,England
