,,Northumberland,England
Acklington,NE65,Northumberland,England
Acomb,NE46,Northumberland,England
Akeld,NE71,Northumberland,England
Allen,,Northumberland,England
Allendale Town,NE47,Northumberland,England
Allenheads,NE47,Northumberland,England
Allensford,DH8,Northumberland,England
Aln,,Northumberland,England
Alnham,NE65,Northumberland,England
Alnmouth,NE66,Northumberland,England
Alnwick,NE66,Northumberland,England
Alwinton,NE65,Northumberland,England
Amble,NE65,Northumberland,England
Ancroft,TD15,Northumberland,England
Ancroft Northmoor,,Northumberland,England
Anick,NE46,Northumberland,England
Apperley Dene,,Northumberland,England
Ashington,NE63,Northumberland,England
Aydon,NE45,Northumberland,England
Ayle,CA9,Northumberland,England
Bamburgh,NE69,Northumberland,England
Bank Top,,Northumberland,England
Bardon Mill,NE47,Northumberland,England
Bareless,,Northumberland,England
Barrasford,NE48,Northumberland,England
Barrow Burn,,Northumberland,England
Baybridge,,Northumberland,England
Beaconhill,,Northumberland,England
Beadnell,NE67,Northumberland,England
Beal,TD15,Northumberland,England
Beanley,NE66,Northumberland,England
Bearsbridge,NE47,Northumberland,England
Beauclerc,,Northumberland,England
Bebside,NE24,Northumberland,England
Beckton,,Northumberland,England
Bedlington,NE22,Northumberland,England
Bedlington Station,,Northumberland,England
Beldon Burn,,Northumberland,England
Belford,NE70,Northumberland,England
Bellingham,NE48,Northumberland,England
Belsay,NE20,Northumberland,England
Beltingham,,Northumberland,England
Berrington,TD15,Northumberland,England
Berwick Hill,NE20,Northumberland,England
Berwick-Upon-Tweed,TD15,Northumberland,England
Bilton,NE66,Northumberland,England
Bingfield,NE19,Northumberland,England
Birkshaw,,Northumberland,England
Birtley,NE48,Northumberland,England
Black Heddon,NE20,Northumberland,England
Blacka Burn,,Northumberland,England
Blanchland,DH8,Northumberland,England
Blenkinsopp Hall,,Northumberland,England
Blyth,NE24,Northumberland,England
Bolam,,Northumberland,England
Bolam West Houses,,Northumberland,England
Bolton,NE66,Northumberland,England
Bomarsund,NE62,Northumberland,England
Bothal,NE61,Northumberland,England
Boulmer,NE66,Northumberland,England
Bowmont Water,,Northumberland,England
Bowsden,TD15,Northumberland,England
Branch End,,Northumberland,England
Branton,NE66,Northumberland,England
Branxton,TD12,Northumberland,England
Breamish,,Northumberland,England
Bridge End,,Northumberland,England
Broomhaugh,NE44,Northumberland,England
Broomhill,NE65,Northumberland,England
Broomley,,Northumberland,England
Broxfield,,Northumberland,England
Burradon,NE23,Northumberland,England
Butteryhaugh,,Northumberland,England
Byerhope,,Northumberland,England
Byrness,NE19,Northumberland,England
Bywell,,Northumberland,England
Callaly,NE65,Northumberland,England
Cambo,NE61,Northumberland,England
Cambois,NE24,Northumberland,England
Canning Town,,Northumberland,England
Capheaton,NE19,Northumberland,England
Carr Sheild,,Northumberland,England
Carterway Heads,DH8,Northumberland,England
Cartington,NE65,Northumberland,England
Catcleugh,NE19,Northumberland,England
Catton,NE47,Northumberland,England
Causey Park Bridge,,Northumberland,England
Charlton,NE48,Northumberland,England
Chathill,NE67,Northumberland,England
Chatton,NE66,Northumberland,England
Chesterhope,,Northumberland,England
Chesterwood,,Northumberland,England
Cheswick,TD15,Northumberland,England
Cheswick Buildings,,Northumberland,England
Cheviot Hills,,Northumberland,England
Chillingham,NE66,Northumberland,England
Chollerford,,Northumberland,England
Chollerton,NE46,Northumberland,England
Choppington,,Northumberland,England
Clennell,,Northumberland,England
Clifton,NE61,Northumberland,England
Coalcleugh,NE47,Northumberland,England
Coanwood,,Northumberland,England
Collingwood,,Northumberland,England
Colpitts Grange,,Northumberland,England
Colwell,NE46,Northumberland,England
Cooklaw,,Northumberland,England
Coquet,,Northumberland,England
Coquet Island,,Northumberland,England
Corbridge,NE45,Northumberland,England
Cornhill on-Tweed,,Northumberland,England
Coupland,NE71,Northumberland,England
Cowpen,NE24,Northumberland,England
Cramlington,NE23,Northumberland,England
Craster,NE66,Northumberland,England
Cresswell,NE61,Northumberland,England
Crookham,TD12,Northumberland,England
Custom House,,Northumberland,England
Dalton,NE20,Northumberland,England
Darras Hall,NE20,Northumberland,England
Denwick,NE66,Northumberland,England
Derwent,,Northumberland,England
Detchant,NE70,Northumberland,England
Dilston,NE45,Northumberland,England
Diptonmill,,Northumberland,England
Dirt Pot,,Northumberland,England
Doddington,NE71,Northumberland,England
Downham,TD12,Northumberland,England
Dry Burn,,Northumberland,England
Duddo,TD15,Northumberland,England
Dukesfield,,Northumberland,England
Dunstan,NE66,Northumberland,England
Dye House,,Northumberland,England
Eachwick,,Northumberland,England
Eals,,Northumberland,England
"Eals, The",,Northumberland,England
East Allen,,Northumberland,England
East Cramlington,,Northumberland,England
East Ham,,Northumberland,England
East Hartford,NE23,Northumberland,England
East Horton,,Northumberland,England
East Law,,Northumberland,England
East Learmouth,TD12,Northumberland,England
East Lilburn,NE66,Northumberland,England
East Ord,TD15,Northumberland,England
East Sleekburn,NE22,Northumberland,England
East Thirston,NE65,Northumberland,England
East Woodburn,,Northumberland,England
Eastfield,,Northumberland,England
Eastfield Hall,NE65,Northumberland,England
Edlingham,NE66,Northumberland,England
Eglingham,NE66,Northumberland,England
Eglingham Burn,,Northumberland,England
Eland Green,,Northumberland,England
Ellingham,NE67,Northumberland,England
Ellington,NE61,Northumberland,England
Elrington,,Northumberland,England
Elsdon,NE19,Northumberland,England
Eltringham,,Northumberland,England
Elwick,NE70,Northumberland,England
Embleton,NE66,Northumberland,England
Erring Burn,,Northumberland,England
Eshott,NE61,Northumberland,England
Eslington Park,,Northumberland,England
Etal,TD12,Northumberland,England
Fair Moor,,Northumberland,England
Fallowlees Burn,,Northumberland,England
Falstone,NE48,Northumberland,England
Fawdon,,Northumberland,England
Felkington,TD15,Northumberland,England
Felton,NE65,Northumberland,England
Fenton,NE71,Northumberland,England
Fenwick,NE20,Northumberland,England
Font,,Northumberland,England
Ford,TD15,Northumberland,England
Ford Forge,,Northumberland,England
Ford Hill,,Northumberland,England
Forest Gate,,Northumberland,England
Fourstones,NE47,Northumberland,England
Foxton Burn,,Northumberland,England
Freelands,,Northumberland,England
Fulbeck,,Northumberland,England
Glantlees,,Northumberland,England
Glanton,NE66,Northumberland,England
Glen,,Northumberland,England
Glororum,NE69,Northumberland,England
Great Bavington,NE19,Northumberland,England
Great Swinburne,NE48,Northumberland,England
Great Tosson,NE65,Northumberland,England
Great Whittington,NE19,Northumberland,England
Greendykes,NE66,Northumberland,England
Greenhaugh,NE48,Northumberland,England
Greenhead,CA6,Northumberland,England
Greystead,,Northumberland,England
Grindon,TD15,Northumberland,England
Guide Post,NE62,Northumberland,England
Gunnerton,NE48,Northumberland,England
Guyzance,NE65,Northumberland,England
Hadston,,Northumberland,England
Haggerston,,Northumberland,England
Hallington,NE19,Northumberland,England
Halton,NE45,Northumberland,England
Halton Lea Gate,CA6,Northumberland,England
Halton Shields,,Northumberland,England
Haltwhistle,NE49,Northumberland,England
Hampeth,,Northumberland,England
Harbottle,NE65,Northumberland,England
Harlow Hill,NE15,Northumberland,England
Harnham,,Northumberland,England
Hartburn,NE61,Northumberland,England
Haugh Head,NE71,Northumberland,England
Hawkhill,NE66,Northumberland,England
Hawkhope,,Northumberland,England
Haydon Bridge,NE47,Northumberland,England
Hazon,,Northumberland,England
Healey,NE44,Northumberland,England
Healey Cote,,Northumberland,England
Healey Hall,,Northumberland,England
Hebron,NE61,Northumberland,England
Heddon-on-the-Wall,NE15,Northumberland,England
Hedley on the Hill,NE43,Northumberland,England
Henshaw,NE47,Northumberland,England
Hepburn,NE66,Northumberland,England
Hepple,NE65,Northumberland,England
Hepscott,NE61,Northumberland,England
Heugh,NE18,Northumberland,England
Hexham,NE46,Northumberland,England
High Angerton,,Northumberland,England
High Buston,NE66,Northumberland,England
High Callerton,NE20,Northumberland,England
High Church,,Northumberland,England
High Hauxley,,Northumberland,England
High Mickley,,Northumberland,England
High Newton-by-the-Sea,,Northumberland,England
High Trewhitt,NE65,Northumberland,England
High Warden,,Northumberland,England
Highfields,,Northumberland,England
Hindley,,Northumberland,England
Hipsburn,,Northumberland,England
Hirst,NE63,Northumberland,England
Holburn,TD15,Northumberland,England
Holy Island,,Northumberland,England
Holystone,NE65,Northumberland,England
Holywell,NE25,Northumberland,England
Horncliffe,TD15,Northumberland,England
Horsley,NE15,Northumberland,England
Houghton,,Northumberland,England
Howick,NE66,Northumberland,England
Howtel,TD12,Northumberland,England
Humshaugh,NE46,Northumberland,England
Ilderton,NE66,Northumberland,England
Ingoe,NE20,Northumberland,England
Ingram,NE66,Northumberland,England
Inner Farne,,Northumberland,England
Irthing,,Northumberland,England
Isabella Pit,,Northumberland,England
Keenley,,Northumberland,England
Kielder,NE48,Northumberland,England
Kielder Burn,,Northumberland,England
Kielder Forest,,Northumberland,England
Kielder Reservoir,,Northumberland,England
Kilham,TD12,Northumberland,England
Kimmerston,NE71,Northumberland,England
Kirkharle,NE19,Northumberland,England
Kirkheaton,NE19,Northumberland,England
Kirknewton,NE71,Northumberland,England
Kirkwhelpington,NE19,Northumberland,England
Knarsdale,CA6,Northumberland,England
Knocklaw,,Northumberland,England
Knowesgate,NE19,Northumberland,England
Knoxes Reef,,Northumberland,England
Lambley,CA6,Northumberland,England
Lanehead,,Northumberland,England
Langley,,Northumberland,England
Lee,,Northumberland,England
Lennel,TD12,Northumberland,England
Lesbury,NE66,Northumberland,England
Lewis Burn,,Northumberland,England
Limestone Brae,,Northumberland,England
Linbriggs,NE65,Northumberland,England
Linhope,,Northumberland,England
Linton,,Northumberland,England
Little Bavington,,Northumberland,England
Little Harcar,,Northumberland,England
Little Ilford,,Northumberland,England
Little Swinburne,,Northumberland,England
Littlehoughton,NE66,Northumberland,England
Loanend,,Northumberland,England
Loansdean,,Northumberland,England
Longframlington,NE65,Northumberland,England
Longhirst,NE61,Northumberland,England
Longhorsley,NE65,Northumberland,England
Longhoughton,NE66,Northumberland,England
Longstone,,Northumberland,England
Longwitton,NE61,Northumberland,England
Low Alwinton,,Northumberland,England
Low Angerton,,Northumberland,England
Low Gate,NE46,Northumberland,England
Low Hauxley,,Northumberland,England
Low Newton-by-the-Sea,NE66,Northumberland,England
Low Prudhoe,,Northumberland,England
Lowick,TD15,Northumberland,England
Lucker,NE70,Northumberland,England
Lynemouth,NE61,Northumberland,England
Manor Park,,Northumberland,England
Marshall Meadows,,Northumberland,England
Matfen,NE20,Northumberland,England
Mayfield,,Northumberland,England
Medburn,,Northumberland,England
Meldon,NE61,Northumberland,England
Melkington,,Northumberland,England
Melkridge,NE49,Northumberland,England
Mickley Square,NE43,Northumberland,England
Middleton,NE61,Northumberland,England
Middleton Hall,NE71,Northumberland,England
Milbourne,NE20,Northumberland,England
Milfield,NE71,Northumberland,England
Mindrum,TD12,Northumberland,England
Mitford,NE61,Northumberland,England
Molesden,,Northumberland,England
Morpeth,NE61,Northumberland,England
Nedderton,NE22,Northumberland,England
Nelson Village,NE23,Northumberland,England
Nether Warden,,Northumberland,England
Netherton,NE65,Northumberland,England
Netherwitton,NE61,Northumberland,England
New Bewick,NE66,Northumberland,England
New Delaval,,Northumberland,England
New Hartley,NE25,Northumberland,England
New Heaton,,Northumberland,England
New Ridley,,Northumberland,England
Newbiggin Burn,,Northumberland,England
Newbiggin-by-the-Sea,NE64,Northumberland,England
Newbrough,NE47,Northumberland,England
Newsham,NE67,Northumberland,England
Newsham,NE24,Northumberland,England
Newton,NE43,Northumberland,England
Newton Hall,,Northumberland,England
Newton on the Moor,,Northumberland,England
Newton Underwood,,Northumberland,England
Newtown,CA6,Northumberland,England
Ninebanks,NE47,Northumberland,England
Norham,TD15,Northumberland,England
Norham West Mains,,Northumberland,England
North Blyth,,Northumberland,England
North Charlton,NE66,Northumberland,England
North End,,Northumberland,England
North Middleton,,Northumberland,England
North Seaton,NE63,Northumberland,England
North Seaton Colliery,,Northumberland,England
North Sunderland,NE68,Northumberland,England
North Togston,,Northumberland,England
North Tyne,,Northumberland,England
North Wamses,,Northumberland,England
Nunnykirk,,Northumberland,England
Oakwood,NE46,Northumberland,England
Ogle,NE20,Northumberland,England
Old Law,,Northumberland,England
Old Swarland,NE65,Northumberland,England
Ordley,,Northumberland,England
Otterburn,NE19,Northumberland,England
Otterburn Camp,NE19,Northumberland,England
Ouston,NE18,Northumberland,England
Ovingham,NE42,Northumberland,England
Ovington,NE42,Northumberland,England
Painshawfield,NE43,Northumberland,England
Park End,NE48,Northumberland,England
Park Village,,Northumberland,England
Pawston,TD12,Northumberland,England
Pegswood,NE61,Northumberland,England
Peppermoor,,Northumberland,England
Pigdon,NE61,Northumberland,England
Plaistow,,Northumberland,England
Plashet,,Northumberland,England
Plenmeller,NE49,Northumberland,England
Pont,,Northumberland,England
Ponteland,NE20,Northumberland,England
Powburn,NE66,Northumberland,England
Pressen,TD12,Northumberland,England
Prestwick,NE20,Northumberland,England
Prior Park,,Northumberland,England
Prudhoe,NE42,Northumberland,England
Radcliffe,NE65,Northumberland,England
Rawgreen,,Northumberland,England
Raylees,NE19,Northumberland,England
Red Row,NE61,Northumberland,England
Redburn,,Northumberland,England
Rede,,Northumberland,England
Redesdale Camp,,Northumberland,England
Redesmouth,NE48,Northumberland,England
Reedsford,,Northumberland,England
Rennington,NE66,Northumberland,England
Riding Mill,NE44,Northumberland,England
Ridley,,Northumberland,England
Ridley Stokoe,,Northumberland,England
Ridsdale,NE48,Northumberland,England
Rochester,NE19,Northumberland,England
Rock,NE66,Northumberland,England
Roddam,NE66,Northumberland,England
Roding,,Northumberland,England
Ross,NE70,Northumberland,England
Rothbury,NE65,Northumberland,England
Rowfoot,NE49,Northumberland,England
Rugley,,Northumberland,England
Ryal,NE20,Northumberland,England
Saltwick,NE20,Northumberland,England
Sandhoe,NE46,Northumberland,England
Scotland Gate,NE62,Northumberland,England
Scrainwood,NE65,Northumberland,England
Scremerston,TD15,Northumberland,England
Seahouses,NE68,Northumberland,England
Seaton,NE26,Northumberland,England
Seaton Delaval,NE25,Northumberland,England
Seaton Sluice,NE26,Northumberland,England
Seghill,NE23,Northumberland,England
Sharperton,NE65,Northumberland,England
Shawdon Hall,,Northumberland,England
Sheepwash,NE62,Northumberland,England
Shilbottle,NE66,Northumberland,England
Shilbottle Grange,,Northumberland,England
Shillmoor,NE65,Northumberland,England
Shilvington,,Northumberland,England
Shoresdean,TD15,Northumberland,England
Shotley Bridge,DH8,Northumberland,England
Shotleyfield,DH8,Northumberland,England
Shotton,TD12,Northumberland,England
Simonburn,NE48,Northumberland,England
Sinderhope,NE47,Northumberland,England
Slaggyford,CA6,Northumberland,England
Slaley,NE47,Northumberland,England
Small Burn,,Northumberland,England
Snitter,NE65,Northumberland,England
Snods Edge,,Northumberland,England
South Beach,,Northumberland,England
South Broomhill,NE61,Northumberland,England
South Charlton,NE66,Northumberland,England
South Middleton,,Northumberland,England
South Newsham,,Northumberland,England
South Tyne,,Northumberland,England
South Wamses,,Northumberland,England
Southfield,,Northumberland,England
Spartylea,NE47,Northumberland,England
Spindlestone,NE70,Northumberland,England
Spittal,TD15,Northumberland,England
Stakeford,NE62,Northumberland,England
Stamfordham,NE18,Northumberland,England
Stannersburn,NE48,Northumberland,England
Stannington,NE61,Northumberland,England
Stanton,NE65,Northumberland,England
Steel,,Northumberland,England
Stobhill,,Northumberland,England
Stobhillgate,,Northumberland,England
Stobswood,,Northumberland,England
Stocksfield,NE43,Northumberland,England
Stokoe,,Northumberland,England
Stonehaugh,NE48,Northumberland,England
Stratford,,Northumberland,England
Stratford New Town,,Northumberland,England
Strothers Dale,,Northumberland,England
Swarland,NE65,Northumberland,England
Swilder Burn,,Northumberland,England
Swinhoe,NE67,Northumberland,England
The Riding,,Northumberland,England
Thockrington,NE48,Northumberland,England
Thorngrafton,,Northumberland,England
Thornton,TD15,Northumberland,England
Throphill,NE61,Northumberland,England
Thropton,NE65,Northumberland,England
Thrunton,,Northumberland,England
Till,,Northumberland,England
Titlington,,Northumberland,England
Togston,NE65,Northumberland,England
Tow House,,Northumberland,England
Townhead,,Northumberland,England
Tranwell,NE61,Northumberland,England
Tritlington,NE61,Northumberland,England
Tughall,NE67,Northumberland,England
Tweedmouth,TD15,Northumberland,England
Tyne,,Northumberland,England
Ulgham,NE61,Northumberland,England
Uppertown,,Northumberland,England
Upton,,Northumberland,England
Upton Park,,Northumberland,England
Wall,NE46,Northumberland,England
Wallend,,Northumberland,England
Wallridge,,Northumberland,England
Walwick,NE46,Northumberland,England
Wansbeck,,Northumberland,England
Warden,NE46,Northumberland,England
Waren Burn,,Northumberland,England
Waren Mill,NE70,Northumberland,England
Warenford,NE70,Northumberland,England
Wark,NE48,Northumberland,England
Wark Common,,Northumberland,England
Warkworth,NE65,Northumberland,England
Warton,NE65,Northumberland,England
Weldon,,Northumberland,England
West Allen,,Northumberland,England
West Chevington,NE61,Northumberland,England
West Fleetham,NE67,Northumberland,England
West Flodden,,Northumberland,England
West Ham,,Northumberland,England
West Horton,,Northumberland,England
West Learmouth,,Northumberland,England
West Sleekburn,,Northumberland,England
West Thirston,,Northumberland,England
West Woodburn,NE48,Northumberland,England
West Wylam,,Northumberland,England
Westend Town,,Northumberland,England
Westlea,,Northumberland,England
Westnewton,NE71,Northumberland,England
Whalton,NE61,Northumberland,England
Wharmley,,Northumberland,England
Whitelee,,Northumberland,England
Whitfield,NE47,Northumberland,England
Whitfield Hall,,Northumberland,England
Whitley Chapel,NE47,Northumberland,England
Whittingham,NE66,Northumberland,England
Whitton,NE65,Northumberland,England
Whittonstall,DH8,Northumberland,England
Whygate,NE48,Northumberland,England
Widdrington,NE61,Northumberland,England
Widdrington Station,,Northumberland,England
Woodbridge,,Northumberland,England
Woodhorn,NE64,Northumberland,England
Wooler,NE71,Northumberland,England
Wooler Water,,Northumberland,England
Wooperton,NE66,Northumberland,England
Wylam,NE41,Northumberland,England
Yarrow,,Northumberland,England
Yetlington,NE65,Northumberland,England
Yett Burn,,Northumberland,England
