,,Shropshire,England
Abbey Green,,Shropshire,England
Abcott,,Shropshire,England
Abdon,SY7,Shropshire,England
Ackleton,WV6,Shropshire,England
Acton,SY9,Shropshire,England
Acton Burnell,SY5,Shropshire,England
Acton Pigott,SY5,Shropshire,England
Acton Reynald,,Shropshire,England
Acton Round,WV16,Shropshire,England
Acton Scott,SY6,Shropshire,England
Adderley,TF9,Shropshire,England
Adeney,TF10,Shropshire,England
Admaston,TF5,Shropshire,England
Alberbury,SY5,Shropshire,England
Albrighton,SY4,Shropshire,England
Alcaston,SY6,Shropshire,England
Alderton,SY4,Shropshire,England
Aldon,,Shropshire,England
Ale Oak,,Shropshire,England
Alkington,SY13,Shropshire,England
All Stretton,SY6,Shropshire,England
Allscot,WV15,Shropshire,England
Allscott,,Shropshire,England
Alveley,WV15,Shropshire,England
Anchor,SY7,Shropshire,England
Angelbank,,Shropshire,England
Annscroft,SY5,Shropshire,England
Apley Forge,,Shropshire,England
Aqueduct,,Shropshire,England
Argoed,,Shropshire,England
Arleston,TF1,Shropshire,England
Arscott,,Shropshire,England
Ash Magna,SY13,Shropshire,England
Ash Parva,,Shropshire,England
Ashbrook,,Shropshire,England
Ashfield,,Shropshire,England
Ashfields,,Shropshire,England
Ashford Bowdler,SY8,Shropshire,England
Ashford Carbonell,,Shropshire,England
Asterley,SY5,Shropshire,England
Asterton,SY7,Shropshire,England
Astley,SY4,Shropshire,England
Astley Abbotts,WV16,Shropshire,England
Aston,SY4,Shropshire,England
Aston Botterell,WV16,Shropshire,England
Aston Eyre,WV16,Shropshire,England
Aston Munslow,SY7,Shropshire,England
Aston on Clun,SY7,Shropshire,England
Aston Pigott,,Shropshire,England
Aston Rogers,SY5,Shropshire,England
Aston Sq,,Shropshire,England
Atcham,SY4,Shropshire,England
Atterley,,Shropshire,England
Aylesford Brook,,Shropshire,England
Babbinswood,SY11,Shropshire,England
Bache,,Shropshire,England
Bache Mill,,Shropshire,England
Back Brook,,Shropshire,England
Badger,WV6,Shropshire,England
Bagginswood,,Shropshire,England
Bagley,SY12,Shropshire,England
Bagley Marsh,,Shropshire,England
Ball,SY10,Shropshire,England
Balmer,,Shropshire,England
Balmer Heath,,Shropshire,England
Bankshead,,Shropshire,England
Barkers Green,,Shropshire,England
Barnsley,,Shropshire,England
Barrow,TF12,Shropshire,England
Baschurch,SY4,Shropshire,England
Batchcott,,Shropshire,England
Battlefield,SY1,Shropshire,England
Bayston Hill,SY3,Shropshire,England
Beambridge,,Shropshire,England
Beckbury,TF11,Shropshire,England
Beckjay,,Shropshire,England
Bedstone,SY7,Shropshire,England
Belle Vue,,Shropshire,England
Benthall,TF12,Shropshire,England
Bentlawnt,,Shropshire,England
Beobridge,,Shropshire,England
Berrington,SY5,Shropshire,England
Berwick Wharf,,Shropshire,England
Besford,SY4,Shropshire,England
Betchcott,,Shropshire,England
Betton,SY5,Shropshire,England
Betton Strange,,Shropshire,England
Bettws-y-crwyn,SY7,Shropshire,England
Bicton,SY3,Shropshire,England
Bicton Heath,SY3,Shropshire,England
Billingsley,WV16,Shropshire,England
Bilmarsh,,Shropshire,England
Bings Heath,,Shropshire,England
Birdsgreen,WV15,Shropshire,England
Birtley,SY7,Shropshire,England
Bishops Wood,,Shropshire,England
Bitterley,SY8,Shropshire,England
Blackford,,Shropshire,England
Blackmore,,Shropshire,England
Bletchley,TF9,Shropshire,England
Blists Hill,,Shropshire,England
Bluebell,,Shropshire,England
Bobbington,,Shropshire,England
"Bog, The",,Shropshire,England
Bolas Heath,,Shropshire,England
Bomere Heath,SY4,Shropshire,England
Booleybank,,Shropshire,England
Boraston,WR15,Shropshire,England
Boraston Dale,,Shropshire,England
Bouldon,SY7,Shropshire,England
Bourton,TF13,Shropshire,England
Bowbrook,,Shropshire,England
Bowling Green,,Shropshire,England
Bradeley Green,,Shropshire,England
Bradney,,Shropshire,England
Brandhill,,Shropshire,England
Brandwood,,Shropshire,England
Bratton,,Shropshire,England
Breaden Heath,,Shropshire,England
Bridges,SY5,Shropshire,England
Bridgnorth,WV16,Shropshire,England
Broad Lanes,,Shropshire,England
Broad Oak,,Shropshire,England
Broadoak,,Shropshire,England
Broadstone,SY7,Shropshire,England
Brockton,SY5,Shropshire,England
Bromdon,,Shropshire,England
Bromfield,SY8,Shropshire,England
Bromley,,Shropshire,England
Bromlow,,Shropshire,England
Brompton,,Shropshire,England
Broncroft,,Shropshire,England
Bronygarth,LL14,Shropshire,England
Brookhampton,,Shropshire,England
Brooklands,,Shropshire,England
Brookrow,,Shropshire,England
Brookside,,Shropshire,England
Broome,SY7,Shropshire,England
Broomfields,,Shropshire,England
Broseley,TF12,Shropshire,England
Broughall,SY13,Shropshire,England
Broughton,,Shropshire,England
Brownheath,,Shropshire,England
Brownhill,,Shropshire,England
Brownhills,,Shropshire,England
Bryn,SY9,Shropshire,England
Bryn-y-cochin,,Shropshire,England
Brynore,,Shropshire,England
Bucknell,SY7,Shropshire,England
Buildwas,TF8,Shropshire,England
Bulkeley Hall,,Shropshire,England
Burcote,,Shropshire,England
Burford,,Shropshire,England
Burley,,Shropshire,England
Burleydam,SY13,Shropshire,England
Burlton,SY4,Shropshire,England
Burnhill Green,WV6,Shropshire,England
Burton Westwood,,Shropshire,England
Burwarton,WV16,Shropshire,England
Burwood,,Shropshire,England
Bushmoor,,Shropshire,England
Butlane Head,,Shropshire,England
Butlersbank,,Shropshire,England
Buttonbridge,,Shropshire,England
Buttonoak,DY12,Shropshire,England
Byne Brook,,Shropshire,England
Cabin,,Shropshire,England
Cadney Bank,,Shropshire,England
Caebitra,,Shropshire,England
Calcott,,Shropshire,England
Callaughton,,Shropshire,England
Calverhall,SY13,Shropshire,England
Camlad,,Shropshire,England
Cantlop,SY5,Shropshire,England
Cardeston,SY5,Shropshire,England
Cardington,SY6,Shropshire,England
Castle Fields,,Shropshire,England
Castlegreen,,Shropshire,England
Catstree,,Shropshire,England
Causewaywood,,Shropshire,England
Caynham,SY8,Shropshire,England
Cefn Einion,SY9,Shropshire,England
Ceiriog,,Shropshire,England
Chadwell,,Shropshire,England
Chapel Lawn,SY7,Shropshire,England
Charlton,,Shropshire,England
Chatford,,Shropshire,England
Chavel,,Shropshire,England
Chelmarsh,WV16,Shropshire,England
Chelmick,,Shropshire,England
Chemistry,,Shropshire,England
Cheney Longville,SY7,Shropshire,England
Cherrington,TF6,Shropshire,England
Cherry Orchard,,Shropshire,England
Chesterton,WV15,Shropshire,England
Cheswardine,TF9,Shropshire,England
Cheswell,,Shropshire,England
Chetton,WV16,Shropshire,England
Chetwynd Aston,TF10,Shropshire,England
Childs Ercall,,Shropshire,England
Chipnall,TF9,Shropshire,England
Chirbury,SY15,Shropshire,England
Chirk,LL14,Shropshire,England
Chirk Bank,,Shropshire,England
Chorley,WV16,Shropshire,England
Choulton,,Shropshire,England
Church Aston,TF10,Shropshire,England
Church Preen,SY6,Shropshire,England
Church Pulverbatch,SY5,Shropshire,England
Church Stretton,SY6,Shropshire,England
Churchbank,,Shropshire,England
Churchmoor Rough,,Shropshire,England
Churchtown,,Shropshire,England
Claverley,WV5,Shropshire,England
Clee St Margaret,SY7,Shropshire,England
Cleedownton,SY8,Shropshire,England
Cleehill,SY8,Shropshire,England
Cleemarsh,,Shropshire,England
Cleestanton,,Shropshire,England
Cleeton St Mary,DY14,Shropshire,England
Cleobury Mortimer,DY14,Shropshire,England
Cleobury North,WV16,Shropshire,England
Clive,SY4,Shropshire,England
Cluddley,,Shropshire,England
Clun,SY7,Shropshire,England
Clunbury,SY7,Shropshire,England
Clungunford,SY7,Shropshire,England
Clunton,SY7,Shropshire,England
Coalbrookdale,TF8,Shropshire,England
Coalmoor,,Shropshire,England
Coalport,TF8,Shropshire,England
Cobscot,,Shropshire,England
Cockshutford,,Shropshire,England
Cockshutt,SY12,Shropshire,England
Codsall Wood,,Shropshire,England
Coed y go,,Shropshire,England
Coedway,,Shropshire,England
Cold Hatton,,Shropshire,England
Cold Hatton Heath,,Shropshire,England
Colebatch,SY9,Shropshire,England
Colemere,SY12,Shropshire,England
Colemore Green,,Shropshire,England
Comley,,Shropshire,England
Commonwood,,Shropshire,England
Condover,SY5,Shropshire,England
Conquermoor Heath,,Shropshire,England
Coppicegate,,Shropshire,England
Copthorne,,Shropshire,England
Coptiviney,,Shropshire,England
Coreley,SY8,Shropshire,England
Corfton,SY7,Shropshire,England
Corfton Bache,,Shropshire,England
Cornbrook,,Shropshire,England
"Corner, The",,Shropshire,England
Corve,,Shropshire,England
Coton,,Shropshire,England
Coton Hill,,Shropshire,England
Cotonwood,,Shropshire,England
Cotwall,,Shropshire,England
Cound,SY5,Shropshire,England
Cound Brook,,Shropshire,England
Coundlane,,Shropshire,England
Coundmoor,,Shropshire,England
Coxbank,CW3,Shropshire,England
Coxgreen,,Shropshire,England
Crackleybank,TF11,Shropshire,England
Craig-llwyn,,Shropshire,England
Crateford,,Shropshire,England
Craven Arms,SY7,Shropshire,England
Creamore Bank,,Shropshire,England
Cressage,SY5,Shropshire,England
Crickheath,SY10,Shropshire,England
Crickheath Wharf,,Shropshire,England
Crickmery,,Shropshire,England
Criftins (Dudleston Heath),,Shropshire,England
Croesau Bach,SY10,Shropshire,England
Croeswallt (Oswestry),,Shropshire,England
Crosemere,,Shropshire,England
Cross,,Shropshire,England
Cross Green,,Shropshire,England
