,,Suffolk,England
Kersey,IP7,Suffolk,England
Kersey Tye,,Suffolk,England
Kersey Upland,,Suffolk,England
Kesgrave,IP5,Suffolk,England
Kessingland,NR33,Suffolk,England
Kessingland Beach,NR33,Suffolk,England
Kettlebaston,IP7,Suffolk,England
Kettleburgh,IP13,Suffolk,England
Kingshall Green,,Suffolk,England
Kingshall Street,,Suffolk,England
Kingston,,Suffolk,England
Kirkley,NR33,Suffolk,England
Kirtling Green,CB8,Suffolk,England
Kirton,IP10,Suffolk,England
Knaves Green,,Suffolk,England
Knettishall,IP22,Suffolk,England
Knodishall,IP17,Suffolk,England
Lackford,IP28,Suffolk,England
Lakenheath,IP27,Suffolk,England
Lambfair Green,,Suffolk,England
Landwade,CB8,Suffolk,England
Langham,IP31,Suffolk,England
Langton Green,,Suffolk,England
Lark,,Suffolk,England
Lattinford Hill,,Suffolk,England
Lavenham,CO10,Suffolk,England
Lawshall,IP29,Suffolk,England
Lawshall Green,,Suffolk,England
Laxfield,IP13,Suffolk,England
Leavenheath,CO6,Suffolk,England
Leiston,IP16,Suffolk,England
Letheringham,IP13,Suffolk,England
Levington,IP10,Suffolk,England
Lidgate,CB8,Suffolk,England
Lindsey,IP7,Suffolk,England
Lindsey Tye,,Suffolk,England
Little Bealings,IP13,Suffolk,England
Little Blakenham,IP8,Suffolk,England
Little Bradley,CB9,Suffolk,England
Little Cornard,,Suffolk,England
Little Finborough,IP14,Suffolk,England
Little Glemham,IP13,Suffolk,England
Little Green,IP23,Suffolk,England
Little Knowles Green,,Suffolk,England
Little London,,Suffolk,England
Little Ouse,,Suffolk,England
Little Saxham,IP29,Suffolk,England
Little Stonham,IP14,Suffolk,England
Little Thurlow,CB9,Suffolk,England
Little Thurlow Green,,Suffolk,England
Little Waldingfield,CO10,Suffolk,England
Little Welnetham,IP30,Suffolk,England
Little Wenham,CO7,Suffolk,England
Little Whittingham Green,IP21,Suffolk,England
Little Wratting,CB9,Suffolk,England
Long Green,,Suffolk,England
Long Melford,CO10,Suffolk,England
Long Thurlow,IP31,Suffolk,England
Lound,NR32,Suffolk,England
Low Green,,Suffolk,England
Lower Falkenham,,Suffolk,England
Lower Green,,Suffolk,England
Lower Hacheston,,Suffolk,England
Lower Holbrook,IP9,Suffolk,England
Lower Layham,,Suffolk,England
Lower Raydon,,Suffolk,England
Lower Street,,Suffolk,England
Lowestoft,NR32,Suffolk,England
Mace Green,,Suffolk,England
Magpie Green,,Suffolk,England
Maidenhall,,Suffolk,England
Maidensgrave,,Suffolk,England
Malting End,,Suffolk,England
Market Weston,IP22,Suffolk,England
Marlesford,IP13,Suffolk,England
Martlesham,IP12,Suffolk,England
Martlesham Heath,IP5,Suffolk,England
Maypole Green,,Suffolk,England
Meeting Green,,Suffolk,England
Mellis,IP23,Suffolk,England
Mellis Green,,Suffolk,England
Mells,,Suffolk,England
Melon Green,,Suffolk,England
Melton,IP12,Suffolk,England
Mendham,IP20,Suffolk,England
Mendlesham,IP14,Suffolk,England
Mendlesham Green,IP14,Suffolk,England
Metfield,IP20,Suffolk,England
Methersgate,,Suffolk,England
Mettingham,NR35,Suffolk,England
Mickfield,IP14,Suffolk,England
Mickley Green,,Suffolk,England
Middle Green,,Suffolk,England
Middleton,CO10,Suffolk,England
Middleton Moor,,Suffolk,England
Middlewood Green,IP14,Suffolk,England
Milden,IP7,Suffolk,England
Mildenhall,IP28,Suffolk,England
Mile End,,Suffolk,England
Mill Green,,Suffolk,England
Mill Hill,,Suffolk,England
Mill Hills,,Suffolk,England
Mill Street,,Suffolk,England
Moats Tye,,Suffolk,England
Monewden,IP13,Suffolk,England
Monk Soham,IP13,Suffolk,England
Monks Eleigh,IP7,Suffolk,England
Moulton,CB8,Suffolk,England
Mount Pleasant,,Suffolk,England
Mutford,NR34,Suffolk,England
Nacton,IP10,Suffolk,England
Naughton,IP7,Suffolk,England
Nayland,CO6,Suffolk,England
Nedging,,Suffolk,England
Nedging Tye,IP7,Suffolk,England
Needham Market,IP6,Suffolk,England
Needham Street,,Suffolk,England
Nether St,,Suffolk,England
Nettlestead,IP8,Suffolk,England
Newbourne,IP12,Suffolk,England
Newmarket,CB8,Suffolk,England
Newton,CO10,Suffolk,England
Normanston,,Suffolk,England
North Common,,Suffolk,England
North Cove,NR34,Suffolk,England
North Green,IP21,Suffolk,England
Norton,IP31,Suffolk,England
Norton Little Green,,Suffolk,England
Nowton,IP29,Suffolk,England
Oak Hill,,Suffolk,England
Oakley,IP21,Suffolk,England
Oakley Park,,Suffolk,England
Occold,IP23,Suffolk,England
Offton,IP8,Suffolk,England
Old Felixstowe,IP11,Suffolk,England
Old Newton,IP14,Suffolk,England
Oldhall Green,,Suffolk,England
Onehouse,,Suffolk,England
Orford,IP12,Suffolk,England
Orford Ness,,Suffolk,England
Otley,IP6,Suffolk,England
Oulton,NR32,Suffolk,England
Oulton Broad,NR33,Suffolk,England
Ousden,CB8,Suffolk,England
Pakefield,NR33,Suffolk,England
Pakenham,IP31,Suffolk,England
Palgrave,IP22,Suffolk,England
Parham,IP13,Suffolk,England
Park Gate,,Suffolk,England
Parliament Heath,,Suffolk,England
Peasenhall,IP17,Suffolk,England
Pettaugh,IP14,Suffolk,England
Pettistree,IP13,Suffolk,England
Pinford End,,Suffolk,England
Playford,IP6,Suffolk,England
Polstead,CO6,Suffolk,England
Polstead Heath,,Suffolk,England
Poslingford,CO10,Suffolk,England
Potash,,Suffolk,England
Pound Green,,Suffolk,England
Poystreet Green,IP30,Suffolk,England
Preston St Mary,,Suffolk,England
Priory Green,,Suffolk,England
Priory Heath,,Suffolk,England
Racecourse,,Suffolk,England
Ramsholt,IP12,Suffolk,England
Rattlesden,IP30,Suffolk,England
Raydon,IP7,Suffolk,England
Rede,IP29,Suffolk,England
Redgrave,IP22,Suffolk,England
Redisham,NR34,Suffolk,England
Redlingfield,IP23,Suffolk,England
Rendham,IP17,Suffolk,England
Rendlesham,IP12,Suffolk,England
Reydon,IP18,Suffolk,England
Reydon Smear,,Suffolk,England
Rickinghall,IP22,Suffolk,England
Ringsfield,NR34,Suffolk,England
Ringsfield Corner,NR34,Suffolk,England
Ringshall,IP14,Suffolk,England
Ringshall Stocks,IP7,Suffolk,England
Risby,IP28,Suffolk,England
Rishangles,IP23,Suffolk,England
Roman Hill,,Suffolk,England
Rooksey Green,,Suffolk,England
Rose Green,CO6,Suffolk,England
Rose Hill,,Suffolk,England
Rougham,IP30,Suffolk,England
Rougham Green,IP30,Suffolk,England
Round Maple,,Suffolk,England
Rumburgh,IP19,Suffolk,England
Rushbrooke,IP30,Suffolk,England
Rushford,IP24,Suffolk,England
Rushmere,NR33,Suffolk,England
Rushmere St Andrew,IP5,Suffolk,England
Rushmere Street,,Suffolk,England
Sackers Green,CO10,Suffolk,England
Santon Downham,IP27,Suffolk,England
Sapiston,IP31,Suffolk,England
Saxham Street,,Suffolk,England
Saxmundham,IP17,Suffolk,England
Saxtead,,Suffolk,England
Saxtead Green,IP13,Suffolk,England
Saxtead Little Green,IP13,Suffolk,England
Scotland Street,,Suffolk,England
Semer,IP7,Suffolk,England
Shadingfield,NR34,Suffolk,England
Shelland,,Suffolk,England
Shelley,IP7,Suffolk,England
Sherbourne Street,,Suffolk,England
Shimpling,IP21,Suffolk,England
Shimpling Street,IP29,Suffolk,England
Shingle Street,IP12,Suffolk,England
Shipmeadow,NR34,Suffolk,England
Shop Corner,IP9,Suffolk,England
Shotley,IP9,Suffolk,England
Shotley Gate,IP9,Suffolk,England
Shottisham,IP12,Suffolk,England
Sibton,IP17,Suffolk,England
Sicklesmere,IP30,Suffolk,England
Sizewell,IP16,Suffolk,England
Slough Hill,,Suffolk,England
Smallwood Green,,Suffolk,England
Smallworth,IP22,Suffolk,England
Smithwood Green,,Suffolk,England
Snape,IP17,Suffolk,England
Somerleyton,NR32,Suffolk,England
Somersham,IP8,Suffolk,England
Somerton,IP29,Suffolk,England
Sotterley,,Suffolk,England
South Cove,NR34,Suffolk,England
South Green,,Suffolk,England
Southolt,IP23,Suffolk,England
Southwold,IP18,Suffolk,England
Sowley Green,,Suffolk,England
Spexhall,IP19,Suffolk,England
Sproughton,IP8,Suffolk,England
St Cross South Elmham,IP20,Suffolk,England
St James South Elmham,IP19,Suffolk,England
St Margaret South Elmham,IP20,Suffolk,England
St Michael South Elmham,NR35,Suffolk,England
St Nicholas South Elmham,,Suffolk,England
St Peter South Elmham,,Suffolk,England
Stackyard Green,,Suffolk,England
Stanningfield,IP29,Suffolk,England
Stansfield,CO10,Suffolk,England
Stanstead,CO10,Suffolk,England
Stanton,IP31,Suffolk,England
Stanton Chare,,Suffolk,England
Stanton Street,IP31,Suffolk,England
Stanway Green,,Suffolk,England
Statford St Andrew,,Suffolk,England
Sternfield,IP17,Suffolk,England
Stock Hill,,Suffolk,England
Stoke,,Suffolk,England
Stoke Ash,IP23,Suffolk,England
Stoke Park,IP2,Suffolk,England
Stoke-by-Nayland,CO6,Suffolk,England
Stone Street,IP19,Suffolk,England
Stonham Aspal,IP14,Suffolk,England
Stour,,Suffolk,England
Stoven,NR34,Suffolk,England
Stowlangtoft,IP31,Suffolk,England
Stowmarket,IP14,Suffolk,England
Stowupland,IP14,Suffolk,England
Stradbroke,IP21,Suffolk,England
Stradishall,CB8,Suffolk,England
Stuston,IP21,Suffolk,England
Stutton,IP9,Suffolk,England
Sudbourne,IP12,Suffolk,England
Sudbury,CO10,Suffolk,England
Sutton,IP12,Suffolk,England
Sutton Street,,Suffolk,England
Swan Green,,Suffolk,England
Sweffling,IP17,Suffolk,England
Swilland,IP6,Suffolk,England
Swingleton Green,,Suffolk,England
Syleham,,Suffolk,England
Tan Office,,Suffolk,England
Tan Office Green,,Suffolk,England
Tannington Place,,Suffolk,England
Tattingstone,IP9,Suffolk,England
Tattingstone White Horse,,Suffolk,England
Temple End,,Suffolk,England
The Black Bourn,,Suffolk,England
The Brook,,Suffolk,England
The Heath,,Suffolk,England
The Marsh,,Suffolk,England
The Port of Felixstowe,,Suffolk,England
The Woodlands,,Suffolk,England
Theberton,IP16,Suffolk,England
Thelnetham,IP22,Suffolk,England
Thistley Green,IP28,Suffolk,England
Thorington,IP19,Suffolk,England
Thorington Street,CO6,Suffolk,England
Thorndon,IP23,Suffolk,England
Thorney Green,,Suffolk,England
Thornham Magna,IP23,Suffolk,England
Thornham Parva,IP23,Suffolk,England
Thorns,CB8,Suffolk,England
Thorpe Common,,Suffolk,England
Thorpe Green,IP30,Suffolk,England
Thorpe Morieux,IP30,Suffolk,England
Thorpe Street,,Suffolk,England
Thorpeness,IP16,Suffolk,England
Thrandeston,IP21,Suffolk,England
Thurston,IP31,Suffolk,England
Thurston End,,Suffolk,England
Thwaite,IP23,Suffolk,England
Timworth,,Suffolk,England
Timworth Green,IP31,Suffolk,England
Toad Row,,Suffolk,England
Tostock,IP30,Suffolk,England
Trimley Lower Street,,Suffolk,England
Trimley St Martin,IP10,Suffolk,England
Trimley St Mary,IP10,Suffolk,England
Troston,IP31,Suffolk,England
Tuddenham,IP28,Suffolk,England
Tunstall,IP12,Suffolk,England
Ufford,IP13,Suffolk,England
Uggeshall,NR34,Suffolk,England
Undley,,Suffolk,England
Upper Green,,Suffolk,England
Upper Holton,,Suffolk,England
Upper Layham,,Suffolk,England
Upper Street,IP9,Suffolk,England
Upper Town,,Suffolk,England
Upper Weybread,,Suffolk,England
Upsher Green,,Suffolk,England
Upthorpe,,Suffolk,England
Walberswick,IP17,Suffolk,England
Waldringfield,IP12,Suffolk,England
Waldringfield Heath,,Suffolk,England
Wales End,,Suffolk,England
Walpole,IP19,Suffolk,England
Walsham Le Willows,IP31,Suffolk,England
Walton,IP11,Suffolk,England
Wangford,IP27,Suffolk,England
Ward Green,IP14,Suffolk,England
Warren Heath,,Suffolk,England
Washbrook,,Suffolk,England
Washbrook Street,,Suffolk,England
Washmere Green,,Suffolk,England
Wattisfield,IP22,Suffolk,England
Wattisham,IP7,Suffolk,England
Wattisham Stone,,Suffolk,England
Waveney,IP18,Suffolk,England
Wenhaston,IP19,Suffolk,England
Wenhaston Black Heath,,Suffolk,England
West End,NR34,Suffolk,England
West Row,IP28,Suffolk,England
West Stow,IP28,Suffolk,England
West Street,,Suffolk,England
Westbourne,,Suffolk,England
Westerfield,IP6,Suffolk,England
Westhall,IP19,Suffolk,England
Westhorpe,IP14,Suffolk,England
Westleton,IP17,Suffolk,England
Westley,IP33,Suffolk,England
Weston,,Suffolk,England
Weston Ditch,,Suffolk,England
Wetherden,IP14,Suffolk,England
Wetherden Upper Town,,Suffolk,England
Wetheringsett,IP14,Suffolk,England
Wetherup Street,IP14,Suffolk,England
Weybread,IP21,Suffolk,England
Whatfield,IP7,Suffolk,England
Whelp Street,,Suffolk,England
Whepstead,IP29,Suffolk,England
Wherstead,IP2,Suffolk,England
White House,,Suffolk,England
Whitestreet Green,,Suffolk,England
Whitton,IP1,Suffolk,England
Wicker Street Green,,Suffolk,England
Wickham Green,,Suffolk,England
Wickham Market,IP13,Suffolk,England
Wickham Skeith,IP23,Suffolk,England
Wickham Street,IP23,Suffolk,England
Wickhambrook,CB8,Suffolk,England
Wilby,IP21,Suffolk,England
Wilde Street,,Suffolk,England
Willingham,,Suffolk,England
Willisham,IP8,Suffolk,England
Willisham Tye,,Suffolk,England
Windsor Green,,Suffolk,England
Wingfield,IP21,Suffolk,England
Wingfield Green,,Suffolk,England
Winston,IP14,Suffolk,England
Wissett,IP19,Suffolk,England
Withermarsh Green,,Suffolk,England
Withersdale Street,IP20,Suffolk,England
Withersfield,CB9,Suffolk,England
Witnesham,IP6,Suffolk,England
Woodbridge,IP12,Suffolk,England
Woodbridge Walk,,Suffolk,England
Woolpit,IP30,Suffolk,England
Woolpit Green,,Suffolk,England
Woolpit Heath,,Suffolk,England
Woolverstone,IP9,Suffolk,England
Wootten Green,,Suffolk,England
Wordwell,IP28,Suffolk,England
Workhouse Green,,Suffolk,England
Worlingham,NR34,Suffolk,England
Worlington,IP28,Suffolk,England
Worlingworth,IP13,Suffolk,England
Wortham,IP22,Suffolk,England
Wrentham,NR34,Suffolk,England
Wyverstone,IP14,Suffolk,England
Wyverstone Green,,Suffolk,England
Wyverstone Street,IP14,Suffolk,England
Yaxley,IP23,Suffolk,England
Yoxford,IP17,Suffolk,England
